category,filename,jitter,shimmer,HNR,nVB,perVB,med,mean,std,min,max,total_duration,speaking_rate,articulation_rate,PCT,PCC,PCV,vowel_space,VAI,FCR,F2,0,1,2,3,4,5,6,7,8,9,10,11,12
0,F0159_CS_2002,2.14,7.69,14.38,9,25.29,193.85,198.28,53.79,70.99,399.43,4.51,2.88,3.9,100,100,100,16141.33,0.55,1.83,0.85,-723.496155,97.61451,-3.204306,26.664207,-10.600978,-4.795156,-0.155732,-3.369317,-4.330061,-4.783894,-1.189748,-1.956543,-6.675759
0,F0159_CS_2003,2.67,9.23,11.57,12,24.24,198.28,208.23,75.19,72.73,493.05,4.35,4.14,5.64,100,100,100,29095,0.58,1.71,1.08,-680.621765,108.553169,-12.942404,19.860626,-25.475435,-1.440114,-2.373179,-5.859957,-5.251897,-1.120363,-0.832692,-4.494246,-3.907948
0,F0159_CS_2004,1.84,5.87,16.81,6,15.07,237.92,231.34,44.97,78.59,289.81,3.61,4.15,6.09,100,100,100,45626.38,0.61,1.64,1.19,-673.931274,112.970116,-17.875586,14.893921,-27.530661,0.412134,-0.500921,-6.699341,-4.391806,-0.846919,0.367007,-6.048231,-3.238585
0,F0160_CS_1001,1.64,5.69,16.91,12,17.28,251.64,250.57,37.37,167.11,347.37,4.33,4.62,6.46,100,100,100,23189.44,0.62,1.61,1.2,-687.413696,108.404915,-22.311666,13.303116,-16.101004,-0.695483,-2.798944,-9.318657,-6.669524,3.735148,-4.412817,-10.309205,-1.197552
0,F0160_CS_1002,1.73,6.55,15.19,7,22.43,237.9,236.58,28.17,164.4,302.17,4.06,3.45,5.27,95.12,95.83,94.12,161605.63,0.71,1.4,1.65,-731.140747,88.368248,-13.612823,22.225466,-9.118221,-4.160736,2.262653,-6.070934,-6.156989,-1.732418,-5.614488,-4.778094,-1.785081
0,F0160_CS_1003,1.75,5.68,16.04,11,21.65,276.6,269.75,51.17,82.47,407.7,4.29,4.43,6.04,97.44,100,94.12,20074,0.58,1.73,1.08,-667.895691,110.916786,-22.592916,16.06905,-23.043545,2.10565,-0.883157,-5.012102,-7.33472,-0.58339,-5.478724,-7.618025,1.959327
0,F0160_CS_1004,1.32,5.05,18.89,6,12.82,268.52,262.58,36.47,155.89,337.34,3.53,3.69,5.6,100,100,100,49044.25,0.59,1.69,0.98,-682.881287,110.083313,-25.943275,2.399162,-20.716524,2.437601,0.68355,0.030462,-7.750243,0.837342,-3.276429,-11.104629,0.052125
0,F0160_CS_2001,1.6,5.67,18.57,10,14.53,247.82,238.61,49.19,62.78,331.79,4.6,4.13,5.65,100,100,100,83286.4,0.73,1.37,1.52,-667.108215,109.439827,-26.433516,16.458315,-18.045008,2.691655,-3.933367,-8.091071,-9.388375,3.271689,-5.34461,-12.58739,-1.504093
0,F0160_CS_2002,1.6,6.06,16.83,8,24.84,239.75,233.34,35.62,84.94,312.58,4.34,3,4.54,95.12,95.83,94.12,123550.19,0.72,1.39,1.48,-724.595154,88.421906,-15.677346,16.297953,-13.051716,0.075973,1.075254,-6.94101,-8.764407,-0.382406,-3.868067,-5.130062,-2.418852
0,F0160_CS_2003,2.05,6.27,15.18,13,24.06,266.48,269.39,64.82,107.17,590.67,4.5,3.56,5.38,94.87,100,88.24,18204.75,0.54,1.86,0.92,-656.161316,103.088715,-23.214935,25.738588,-23.235029,6.97693,-3.129961,-4.122229,-8.866687,2.196835,-2.309091,-8.608063,0.765469
0,F0160_CS_2004,1.38,4.91,20.42,6,15.72,259.89,258.14,54.19,60.99,556.15,3.68,3.53,5.28,100,100,100,83743.58,0.46,2.19,0.65,-677.53302,105.269852,-20.514959,11.084751,-23.511148,7.188653,2.272019,-0.748133,-8.436012,5.447158,-1.577864,-11.248702,0.253547
3,M0011_CS_0001,2.433,11.181,16.31,12,52.733,197.081,195.478,22.691,71.268,470.344,11.912,1.259234385,1.343183345,14.2857143,15.3846154,12.5,126510.6109,0.791194281,1.263912069,1.942920037,-765.047607,69.227448,-11.366327,17.965244,0.242064,17.126833,1.509671,-14.556622,-1.720127,-3.875379,-5.005173,-7.114346,-4.263372
